index,price,condo_fee,bedrooms,bathrooms,vacancies,floor,construction_year,total_area_m2,price_per_area,street_address,street_number,neighborhood,zip_code,city,state,country,address,description,url,link,latitude,longitude,advertizer
0,1100000,1675,2,3,3,17,-1.0,862,1276.1020881670534,Rua Capote Valente,,Pinheiros,05409002,São Paulo,SP,BR,"Rua Capote Valente , Pinheiros, 05409002, São Paulo, SP, BR",RARIDADE: APARTAMENTO DE 2 DORMS COM 3 VAGAS DE GARAGEM E 2 DEPOSITOS!,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-862m2-id-2656411420/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-862m2-id-2656411420/"">RARIDADE: APARTAMENTO DE 2 DORMS COM 3 VAGAS DE GARAGEM E 2 DEPOSITOS!</a>",,,Ana Lucia Almeida
1,1000000,0,3,2,2,5,-1.0,130,7692.307692307692,Avenida Brigadeiro Faria Lima,4665,Pinheiros,05426100,São Paulo,SP,BR,"Avenida Brigadeiro Faria Lima 4665, Pinheiros, 05426100, São Paulo, SP, BR",Apartamento para venda tem 130 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2656447570/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2656447570/"">Apartamento para venda tem 130 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>",-23.59657,-46.679402,Imóveis São Caetano
2,950000,0,3,2,2,6,-1.0,120,7916.666666666667,Avenida Brigadeiro Faria Lima,143,Pinheiros,05426200,São Paulo,SP,BR,"Avenida Brigadeiro Faria Lima 143, Pinheiros, 05426200, São Paulo, SP, BR",Apartamento para venda tem 120 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2656448291/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2656448291/"">Apartamento para venda tem 120 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>",-23.560457,-46.695395,Imóveis São Caetano
3,540000,600,2,3,3,0,2019.0,130,4153.846153846154,Rua Navarro de Andrade,5,Pinheiros,05418020,São Paulo,SP,BR,"Rua Navarro de Andrade 5, Pinheiros, 05418020, São Paulo, SP, BR",Apartamento para venda com 2 quartos em Pinheiros - São Paulo - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2651426364/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2651426364/"">Apartamento para venda com 2 quartos em Pinheiros - São Paulo - SP</a>",-23.564253,-46.687427,Cristine de Campos
4,1100000,494,2,3,2,1,2023.0,115,9565.217391304348,Rua Alves Guimarães,,Pinheiros,05410000,São Paulo,SP,BR,"Rua Alves Guimarães , Pinheiros, 05410000, São Paulo, SP, BR",Apartamento Garden a Venda Rua Alves Guimarães Pinheiros - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-varanda-pinheiros-zona-oeste-sao-paulo-sp-115m2-id-2656492583/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-varanda-pinheiros-zona-oeste-sao-paulo-sp-115m2-id-2656492583/"">Apartamento Garden a Venda Rua Alves Guimarães Pinheiros - SP</a>",,,Infinity & Aliare Imóveis
6,1020000,1500,3,2,1,15,1980.0,129,7906.976744186047,Rua Fradique Coutinho,,Pinheiros,05416000,São Paulo,SP,BR,"Rua Fradique Coutinho , Pinheiros, 05416000, São Paulo, SP, BR",Apartamento à venda com 3 quartos em Pinheiros - São Paulo - São Paulo,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-seguranca-interna-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2655906771/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-seguranca-interna-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2655906771/"">Apartamento à venda com 3 quartos em Pinheiros - São Paulo - São Paulo</a>",,,Imóvel Consulte Consultoria e Administração Imobiliária
12,945000,0,3,2,1,5,1968.0,117,8076.923076923077,Rua Fradique Coutinho,484,Pinheiros,05416010,São Paulo,SP,BR,"Rua Fradique Coutinho 484, Pinheiros, 05416010, São Paulo, SP, BR","Ótimo apartamento com 3 quartos, janelas grandes na sala, 1 vaga em Pinheiros.",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2656076921/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2656076921/"">Ótimo apartamento com 3 quartos, janelas grandes na sala, 1 vaga em Pinheiros.</a>",-23.562518,-46.686702,THE REMAX COLLECTION IMOBI
14,792000,1,3,2,0,0,,118,6711.864406779661,Rua Artur de Azevedo,1537,Pinheiros,05404014,São Paulo,SP,BR,"Rua Artur de Azevedo 1537, Pinheiros, 05404014, São Paulo, SP, BR",Apartamento para venda tem 118 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-118m2-id-2650077279/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-118m2-id-2650077279/"">Apartamento para venda tem 118 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>",-23.565209,-46.685697,Pacifico Sul Leilões
15,1199970,2000,3,2,1,0,-1.0,122,9835.819672131147,Rua Oscar Freire,1814,Pinheiros,05409011,São Paulo,SP,BR,"Rua Oscar Freire 1814, Pinheiros, 05409011, São Paulo, SP, BR",Apartamento Venda Pinheiros 122 m² 3 Dormitórios,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-122m2-id-2656062279/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-122m2-id-2656062279/"">Apartamento Venda Pinheiros 122 m² 3 Dormitórios</a>",-23.556517,-46.674544,OH Imoveis
16,1150000,0,3,2,1,0,-1.0,114,10087.719298245614,Rua Cônego Eugênio Leite,222,Pinheiros,05414000,São Paulo,SP,BR,"Rua Cônego Eugênio Leite 222, Pinheiros, 05414000, São Paulo, SP, BR","R$ 1.150.000,00-Pinheiros--3 dts -114 m2 -ótimo local",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-1039052504/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-1039052504/"">R$ 1.150.000,00-Pinheiros--3 dts -114 m2 -ótimo local</a>",-23.56612,-46.678315,Rudner Imóveis LTDA
