;price;condo_fee;bedrooms;bathrooms;vacancies;floor;construction_year;total_area_m2;price_per_area;street_address;street_number;address;description;url;link;latitude;longitude;advertizer
5;440000;0;3;3;3;0;-1.0;140;3142.8571428571427;Rua Mourato Coelho;1;Rua Mourato Coelho 1, Pinheiros, 05417000, São Paulo, SP, BR;Casa para venda tem 140 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2649250672/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2649250672/"">Casa para venda tem 140 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>";-23.566704;-46.685396;Augusto Magalhães Neto
7;530000;0;2;2;2;0;2015.0;120;4416.666666666667;Rua Eugênio de Medeiros;333;Rua Eugênio de Medeiros 333, Pinheiros, 05425000, São Paulo, SP, BR;Apartamento para venda possui 120 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2655989661/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2655989661/"">Apartamento para venda possui 120 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP</a>";-23.568271;-46.700533;Lucas D. Bezerra
8;540000;600;2;3;3;0;2019.0;130;4153.846153846154;Rua Navarro de Andrade;5;Rua Navarro de Andrade 5, Pinheiros, 05418020, São Paulo, SP, BR;Apartamento para venda com 2 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2651426364/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2651426364/"">Apartamento para venda com 2 quartos em Pinheiros - São Paulo - SP</a>";-23.564253;-46.687427;Cristine de Campos
10;660000;0;3;3;2;0;2013.0;163;4049.079754601227;Rua Fidalga;1;Rua Fidalga 1, Pinheiros, 05432070, São Paulo, SP, BR;Casa para venda possui 163 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-hidromassagem-pinheiros-zona-oeste-sao-paulo-sp-163m2-id-2653961280/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-hidromassagem-pinheiros-zona-oeste-sao-paulo-sp-163m2-id-2653961280/"">Casa para venda possui 163 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>";-23.559016;-46.688239;Rogerio Paixão
14;600000;0;2;3;2;0;2017.0;190;3157.8947368421054;Rua Amália de Noronha;;Rua Amália de Noronha , Pinheiros, 05410010, São Paulo, SP, BR;Casa para venda possui 190 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-190m2-id-2655906356/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-190m2-id-2655906356/"">Casa para venda possui 190 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP</a>";;;Imóveis São Caetano
15;685000;490;2;2;0;0;1961.0;110;6227.272727272727;Rua Butantã;;Rua Butantã , Pinheiros, 05424000, São Paulo, SP, BR;Apartamento à venda em Pinheiros com 110 m², 2 quartos, 1 suíte;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2655992077/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2655992077/"">Apartamento à venda em Pinheiros com 110 m², 2 quartos, 1 suíte</a>";;;Marcelo Franco Callejon 174847-F-SP
16;800000;0;3;2;2;0;2000.0;140;5714.285714285715;Rua Atuaú;232;Rua Atuaú 232, Pinheiros, 05428030, São Paulo, SP, BR;Casa para venda com 140 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2655107076/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2655107076/"">Casa para venda com 140 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>";-23.566042;-46.698153;Quadrado Imóveis
19;900000;0;3;2;4;0;2010.0;180;5000.0;Jardim Cândida;;Jardim Cândida , Pinheiros, 05412007, São Paulo, SP, BR;Casa para venda possui 180 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-180m2-id-2655923584/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-180m2-id-2655923584/"">Casa para venda possui 180 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>";;;Imóveis São Caetano
20;650000;400;4;3;2;4;1967.0;150;4333.333333333333;Rua Cardeal Arcoverde;;Rua Cardeal Arcoverde , Pinheiros, 05408002, São Paulo, SP, BR;Apartamento à venda em Pinheiros com 150 m², 4 quartos, 2 vagas;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2655991398/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2655991398/"">Apartamento à venda em Pinheiros com 150 m², 4 quartos, 2 vagas</a>";;;Marcelo Franco Callejon 174847-F-SP
29;800000;0;3;2;3;0;2016.0;205;3902.439024390244;Praça Benedito Calixto;;Praça Benedito Calixto , Pinheiros, 05406040, São Paulo, SP, BR;Casa para venda tem 205 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-205m2-id-2655720975/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-205m2-id-2655720975/"">Casa para venda tem 205 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>";;;Imóveis São Caetano
30;510000;0;3;1;2;0;2010.0;120;4250.0;Rua Fradique Coutinho;1675;Rua Fradique Coutinho 1675, Pinheiros, 05416012, São Paulo, SP, BR;Casa para venda tem 120 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2652152065/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2652152065/"">Casa para venda tem 120 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>";-23.553586;-46.693353;Quadrado Imóveis
